layers,full_ensembling_train_accs,full_merging_train_accs,full_ensembling_test_accs,full_merging_test_accs,full_ensembling_train_losses,full_merging_train_losses,full_ensembling_test_losses,full_merging_test_losses,default_num_params,only_ensemble_i_train_accs,only_ensemble_i_train_losses,only_ensemble_i_test_accs,only_ensemble_i_test_losses,only_ensemble_i_num_params,only_merge_i_train_accs,only_merge_i_train_losses,only_merge_i_test_accs,only_merge_i_test_losses,only_merge_i_num_params
1.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,14758474.0,0.1,2.302539,0.1,2.302539,58781576.0
2.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,14830474.0,0.1,2.302539,0.1,2.302539,58635850.0
3.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,14941130.0,0.1,2.302539,0.1,2.302539,58414600.0
4.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,15162314.0,0.1,2.302539,0.1,2.302539,57972230.0
5.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,15604810.0,0.1,2.302539,0.1,2.302539,57087370.0
6.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,15899722.0,0.1,2.302539,0.1,2.302539,56497544.0
7.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,16489546.0,0.1,2.302539,0.1,2.302539,55317896.0
8.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,18259274.0,0.1,2.302539,0.1,2.302539,51778696.0
9.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,19438922.0,0.1,2.302539,0.1,2.302539,49419400.0
10.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,19438922.0,0.1,2.302539,0.1,2.302539,49419400.0
11.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,19438922.0,0.1,2.302539,0.1,2.302539,49419400.0
12.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,19438922.0,0.1,2.302539,0.1,2.302539,49419400.0
13.0,0.1,0.1,0.1,0.1,2.3025851,2.302539,2.3025851,2.302539,14719818.0,0.1,2.302539,0.1,2.302539,17084746.0,0.1,2.302539,0.1,2.302539,54132870.0
