layers,full_ensembling_train_accs,full_merging_train_accs,full_ensembling_test_accs,full_merging_test_accs,full_ensembling_train_losses,full_merging_train_losses,full_ensembling_test_losses,full_merging_test_losses,default_num_params,only_ensemble_i_train_accs,only_ensemble_i_train_losses,only_ensemble_i_test_accs,only_ensemble_i_test_losses,only_ensemble_i_REPAIR_train_accs,only_ensemble_i_REPAIR_train_losses,only_ensemble_i_REPAIR_test_accs,only_ensemble_i_REPAIR_test_losses,only_ensemble_i_num_params,only_merge_i_train_accs,only_merge_i_train_losses,only_merge_i_test_accs,only_merge_i_test_losses,only_merge_i_REPAIR_train_accs,only_merge_i_REPAIR_train_losses,only_merge_i_REPAIR_test_accs,only_merge_i_REPAIR_test_losses,only_merge_i_num_params
1.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.12448,2.6846685,0.1206,2.6907842,0.95438,0.15829708,0.8941,0.46820447,14775639.0,0.1,2.3612447,0.1,2.3613875,1.0,0.05919992,0.9402,0.23793544,58815130.0
2.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.10842,2.8553352,0.1081,2.860785,0.95842,0.14233974,0.8978,0.44644952,14847639.0,0.1,2.3388975,0.1,2.3397944,0.99998,0.061260246,0.9365,0.24707898,58669400.0
3.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.10204,2.8637705,0.1011,2.865517,0.96066,0.13089927,0.897,0.4408805,14958551.0,0.1,2.3449845,0.1,2.3459396,0.99994,0.062109143,0.9389,0.24686643,58447896.0
4.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.10224,2.8914137,0.1019,2.8954282,0.96364,0.11871632,0.899,0.43063945,15179735.0,0.1,2.3416107,0.1,2.3422527,0.99982,0.06572374,0.9344,0.2550519,58005530.0
5.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.2775,1.9480556,0.2747,1.9767478,0.96904,0.09889432,0.9015,0.41816235,15622743.0,0.1,2.375613,0.1,2.3757908,0.99948,0.067297265,0.9355,0.2542856,57120150.0
6.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.10376,2.8007045,0.1031,2.8067837,0.96812,0.10201254,0.9009,0.42818728,15917655.0,0.1,2.3426647,0.1,2.3435733,0.99958,0.06715915,0.9359,0.25157234,56530330.0
7.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.1212,2.6307487,0.1178,2.6435084,0.96286,0.120838106,0.8982,0.44409853,16507479.0,0.10014,2.3258226,0.1,2.3264613,0.9999,0.062333778,0.9381,0.24354765,55350680.0
8.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.1471,2.3433058,0.1423,2.3627284,0.95922,0.14004909,0.895,0.45945027,18278232.0,0.1,2.3433962,0.1,2.3436177,1.0,0.058805566,0.9407,0.2383601,51810456.0
9.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.11638,2.579618,0.114,2.5886874,0.95612,0.14879881,0.8927,0.46249822,19457880.0,0.1,2.3649464,0.1,2.365496,1.0,0.05754678,0.9418,0.23309524,49451160.0
10.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.14746,2.4392145,0.1441,2.4475417,0.9536,0.16286214,0.8916,0.47764853,19457880.0,0.1,2.3791618,0.1,2.3795733,1.0,0.055273116,0.942,0.22935498,49451160.0
11.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.20564,2.1860917,0.1989,2.1918874,0.952,0.17106709,0.8922,0.48571363,19457880.0,0.1,2.4401562,0.1,2.4404154,1.0,0.054984253,0.9429,0.23011112,49451160.0
12.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.15436,2.25076,0.1515,2.2586427,0.9513,0.16937062,0.8911,0.476944,19457880.0,0.1,2.415209,0.1,2.4156053,1.0,0.056173615,0.9435,0.2314979,49451160.0
13.0,1.0,0.15482,0.9437,0.1504,0.00047967507,2.472957,0.24109285,2.4814498,14736727.0,0.1698,2.2790277,0.1652,2.2867599,0.95122,0.1951529,0.8919,0.38597372,17103704.0,0.1,2.4476554,0.1,2.448165,1.0,0.0009960749,0.9433,0.2268766,54164630.0
