alphas,ensembling_train_accs,ensembling_train_losses,ensembling_test_accs,ensembling_test_losses,naive_train_accs,naive_train_losses,naive_test_accs,naive_test_losses,merging_train_accs,merging_train_losses,merging_test_accs,merging_test_losses,merging_REPAIR_train_accs,merging_REPAIR_train_losses,merging_REPAIR_test_accs,merging_REPAIR_test_losses
0.0,0.99744,0.011735764,0.9068,0.3592012,0.99744,0.011735781,0.9068,0.3592037,0.99744,0.011735781,0.9068,0.3592037,0.99744,0.011648966,0.907,0.35854122
0.05,0.99792,0.00995844,0.9093,0.3442667,0.95974,0.11156263,0.8803,0.44282746,0.97994,0.05749215,0.894,0.4013562,0.99678,0.014627792,0.907,0.36149558
0.1,0.99856,0.008530835,0.9124,0.3309101,0.77284,0.7279667,0.7339,0.93443304,0.87548,0.37889168,0.8165,0.6614179,0.99222,0.026139226,0.9043,0.37693024
0.15,0.99894,0.0073953583,0.9153,0.3191107,0.37536,2.2095628,0.3641,2.283856,0.65388,1.1866615,0.6298,1.3382543,0.98024,0.057396647,0.8942,0.41088706
0.2,0.99918,0.006502031,0.9177,0.30885392,0.1496,3.4533985,0.1493,3.4742415,0.40128,2.3786993,0.3938,2.4251254,0.95578,0.12691265,0.8769,0.47493106
0.25,0.99936,0.0058086966,0.9199,0.3001312,0.12836,3.4211445,0.1282,3.4227643,0.30158,3.159231,0.2973,3.159858,0.91676,0.2584742,0.848,0.5826442
0.3,0.99944,0.0052812123,0.9213,0.29294142,0.11958,3.0557396,0.12,3.0551884,0.24472,3.4001513,0.247,3.389188,0.86334,0.4679854,0.8085,0.75627095
0.35,0.99958,0.004893165,0.9227,0.2872942,0.1029,2.7873054,0.1061,2.7872055,0.17744,3.4528844,0.1825,3.4410145,0.7993,0.74652976,0.7567,0.98752916
0.4,0.99964,0.004625021,0.9234,0.2832118,0.10002,2.6381347,0.1001,2.6386993,0.13122,3.4626472,0.1351,3.452402,0.7361,1.0429095,0.709,1.2370518
0.45000002,0.9997,0.0044632205,0.9241,0.28072602,0.09998,2.6344516,0.1,2.6350765,0.11502,3.4705095,0.1158,3.4621487,0.68876,1.2792909,0.6643,1.4424444
0.5,0.99976,0.004399416,0.9252,0.27986956,0.1,2.7362554,0.1,2.736777,0.1121,3.4816844,0.1132,3.4739923,0.67258,1.3681238,0.6462,1.5284436
0.55,0.99972,0.0044301073,0.9255,0.28066757,0.1,2.902007,0.1,2.9025936,0.1162,3.465339,0.117,3.4577882,0.68898,1.2846736,0.6617,1.4520288
0.6,0.9997,0.0045565427,0.9249,0.28313643,0.1,3.1615841,0.1,3.1625786,0.12928,3.4066162,0.1307,3.398981,0.7351,1.050505,0.7082,1.2360348
0.65,0.99962,0.0047848485,0.9228,0.2872832,0.1,3.4795272,0.1,3.481389,0.15654,3.3027759,0.1585,3.2948601,0.79914,0.7488387,0.7638,0.97786903
0.7,0.9996,0.005126366,0.9215,0.29310244,0.10004,3.7726948,0.1,3.7768178,0.20006,3.1034229,0.2018,3.097608,0.86216,0.46817952,0.815,0.7436419
0.75,0.99956,0.005598185,0.92,0.3005862,0.10328,3.9320476,0.1041,3.9389036,0.28524,2.678067,0.281,2.6855607,0.91828,0.25843212,0.8514,0.57788223
0.8,0.99946,0.006223924,0.9179,0.30973724,0.16388,3.6974714,0.1637,3.715917,0.4582,1.9157721,0.4534,1.963898,0.95566,0.126924,0.8769,0.47685885
0.85,0.9993,0.0070347236,0.9159,0.3205685,0.29828,2.850091,0.294,2.9075198,0.69752,1.0054994,0.6718,1.1664933,0.98068,0.056721844,0.8918,0.41561806
0.9,0.99908,0.008070422,0.9125,0.3330971,0.64712,1.227323,0.6211,1.405767,0.88628,0.3415421,0.8231,0.63862205,0.9924,0.025766693,0.9018,0.38066328
0.95,0.99866,0.009380752,0.9107,0.3473381,0.9397,0.16839679,0.8584,0.5336113,0.9814,0.054582693,0.8918,0.4122866,0.99682,0.013999903,0.905,0.36610028
1.0,0.9981,0.011026281,0.9071,0.3632999,0.9981,0.0110263545,0.9071,0.36330172,0.9981,0.011026751,0.9071,0.36332622,0.99822,0.010911216,0.9076,0.36316407
